year,country_code,registrations
2015,NO,33761.0
2015,FR,22946.0
2015,DE,12363.0
2015,UK,10063.0
2015,CH,9737.0
2016,NO,44978.0
2016,FR,29237.0
2016,SE,13283.0
2016,DE,11410.0
2016,UK,10544.0
2017,NO,62255.0
2017,DE,54491.0
2017,UK,48570.0
2017,FR,37457.0
2017,SE,20348.0
2018,NO,72665.0
2018,DE,67484.0
2018,UK,59455.0
2018,FR,46440.0
2018,SE,28958.0
2019,DE,108527.0
2019,NO,79562.0
2019,FR,62353.0
2019,NL,61547.0
2019,SE,40700.0
2020,DE,394557.0
2020,FR,187460.0
2020,NO,110374.0
2020,SE,93905.0
2020,NL,87750.0
2021,DE,681398.0
2021,FR,306808.0
2021,UK,300864.0
2021,NO,154783.0
2021,IT,139012.0
2022,DE,832651.0
2022,UK,362445.0
2022,FR,334607.0
2022,SE,161902.0
2022,NO,158680.0
2023,DE,699942.0
2023,FR,466426.0
2023,UK,447287.0
2023,BE,193790.0
2023,SE,173390.0
